id,contract,venue,desk,trader,bid,ask,spread,filled,status,trendSeed,updatedAt
29400,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,86.30,86.55,0.25,11,At risk,17,5s ago
29401,Copper Jan 26,Chicago,D-251,Maya Chen,88.00,88.05,0.05,24,Open,18,1s ago
29402,Nickel Mar 26,Singapore,D-628,Noah Park,89.70,89.80,0.10,37,Filled,19,2s ago
29403,Aluminum May 26,Frankfurt,D-844,Iris Chen,91.40,91.55,0.15,50,Monitoring,20,3s ago
29404,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,61.10,61.30,0.20,63,At risk,21,4s ago
29405,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,62.80,63.05,0.25,76,Open,22,5s ago
29406,Cotton Nov 26,Singapore,D-2874,Luca Perez,64.50,64.55,0.05,89,Filled,23,1s ago
29407,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,66.20,66.30,0.10,8,Monitoring,24,2s ago
29408,Wheat Mar 26,Sao Paulo,D-628,Noah Park,67.90,68.05,0.15,19,At risk,25,3s ago
29409,Copper May 26,Chicago,D-844,Iris Chen,69.60,69.80,0.20,32,Open,26,4s ago
29410,Nickel Jul 26,Singapore,D-1071,Sofia Bell,71.30,71.55,0.25,45,Filled,27,5s ago
29411,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,73.00,73.05,0.05,58,Monitoring,28,1s ago
29412,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,74.70,74.80,0.10,71,At risk,29,2s ago
29413,Cocoa Jan 26,Chicago,D-251,Maya Chen,76.40,76.55,0.15,84,Open,12,3s ago
29414,Cotton Mar 26,Singapore,D-628,Noah Park,78.10,78.30,0.20,8,Filled,13,4s ago
29415,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,79.80,80.05,0.25,14,Monitoring,14,5s ago
29416,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,81.50,81.55,0.05,27,At risk,15,1s ago
29417,Copper Sep 26,Chicago,D-1563,Theo Ivanov,83.20,83.30,0.10,40,Open,16,2s ago
29418,Nickel Nov 26,Singapore,D-2874,Luca Perez,84.90,85.05,0.15,53,Filled,17,3s ago
29419,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,86.60,86.80,0.20,66,Monitoring,18,4s ago
29420,Lithium Mar 26,Sao Paulo,D-628,Noah Park,88.30,88.55,0.25,79,At risk,19,5s ago
29421,Cocoa May 26,Chicago,D-844,Iris Chen,90.00,90.05,0.05,92,Open,20,1s ago
29422,Cotton Jul 26,Singapore,D-1071,Sofia Bell,91.70,91.80,0.10,9,Filled,21,2s ago
29423,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,61.40,61.55,0.15,22,Monitoring,22,3s ago
29424,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,63.10,63.30,0.20,35,At risk,23,4s ago
29425,Copper Jan 26,Chicago,D-251,Maya Chen,64.80,65.05,0.25,48,Open,24,5s ago
29426,Nickel Mar 26,Singapore,D-628,Noah Park,66.50,66.55,0.05,61,Filled,25,1s ago
29427,Aluminum May 26,Frankfurt,D-844,Iris Chen,68.20,68.30,0.10,74,Monitoring,26,2s ago
29428,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,69.90,70.05,0.15,87,At risk,27,3s ago
29429,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,71.60,71.80,0.20,8,Open,28,4s ago
29430,Cotton Nov 26,Singapore,D-2874,Luca Perez,73.30,73.55,0.25,17,Filled,29,5s ago
29431,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,75.00,75.05,0.05,30,Monitoring,12,1s ago
29432,Wheat Mar 26,Sao Paulo,D-628,Noah Park,76.70,76.80,0.10,43,At risk,13,2s ago
29433,Copper May 26,Chicago,D-844,Iris Chen,78.40,78.55,0.15,56,Open,14,3s ago
29434,Nickel Jul 26,Singapore,D-1071,Sofia Bell,80.10,80.30,0.20,69,Filled,15,4s ago
29435,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,81.80,82.05,0.25,82,Monitoring,16,5s ago
29436,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,83.50,83.55,0.05,95,At risk,17,1s ago
29437,Cocoa Jan 26,Chicago,D-251,Maya Chen,85.20,85.30,0.10,12,Open,18,2s ago
29438,Cotton Mar 26,Singapore,D-628,Noah Park,86.90,87.05,0.15,25,Filled,19,3s ago
29439,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,88.60,88.80,0.20,38,Monitoring,20,4s ago
29440,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,90.30,90.55,0.25,51,At risk,21,5s ago
29441,Copper Sep 26,Chicago,D-1563,Theo Ivanov,60.00,60.05,0.05,64,Open,22,1s ago
29442,Nickel Nov 26,Singapore,D-2874,Luca Perez,61.70,61.80,0.10,77,Filled,23,2s ago
29443,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,63.40,63.55,0.15,90,Monitoring,24,3s ago
29444,Lithium Mar 26,Sao Paulo,D-628,Noah Park,65.10,65.30,0.20,8,At risk,25,4s ago
29445,Cocoa May 26,Chicago,D-844,Iris Chen,66.80,67.05,0.25,20,Open,26,5s ago
29446,Cotton Jul 26,Singapore,D-1071,Sofia Bell,68.50,68.55,0.05,33,Filled,27,1s ago
29447,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,70.20,70.30,0.10,46,Monitoring,28,2s ago
29448,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,71.90,72.05,0.15,59,At risk,29,3s ago
29449,Copper Jan 26,Chicago,D-251,Maya Chen,73.60,73.80,0.20,72,Open,12,4s ago
29450,Nickel Mar 26,Singapore,D-628,Noah Park,75.30,75.55,0.25,85,Filled,13,5s ago
29451,Aluminum May 26,Frankfurt,D-844,Iris Chen,77.00,77.05,0.05,8,Monitoring,14,1s ago
29452,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,78.70,78.80,0.10,15,At risk,15,2s ago
29453,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,80.40,80.55,0.15,28,Open,16,3s ago
29454,Cotton Nov 26,Singapore,D-2874,Luca Perez,82.10,82.30,0.20,41,Filled,17,4s ago
29455,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,83.80,84.05,0.25,54,Monitoring,18,5s ago
29456,Wheat Mar 26,Sao Paulo,D-628,Noah Park,85.50,85.55,0.05,67,At risk,19,1s ago
29457,Copper May 26,Chicago,D-844,Iris Chen,87.20,87.30,0.10,80,Open,20,2s ago
29458,Nickel Jul 26,Singapore,D-1071,Sofia Bell,88.90,89.05,0.15,93,Filled,21,3s ago
29459,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,90.60,90.80,0.20,10,Monitoring,22,4s ago
29460,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,60.30,60.55,0.25,23,At risk,23,5s ago
29461,Cocoa Jan 26,Chicago,D-251,Maya Chen,62.00,62.05,0.05,36,Open,24,1s ago
29462,Cotton Mar 26,Singapore,D-628,Noah Park,63.70,63.80,0.10,49,Filled,25,2s ago
29463,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,65.40,65.55,0.15,62,Monitoring,26,3s ago
29464,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,67.10,67.30,0.20,75,At risk,27,4s ago
29465,Copper Sep 26,Chicago,D-1563,Theo Ivanov,68.80,69.05,0.25,88,Open,28,5s ago
29466,Nickel Nov 26,Singapore,D-2874,Luca Perez,70.50,70.55,0.05,8,Filled,29,1s ago
29467,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,72.20,72.30,0.10,18,Monitoring,12,2s ago
29468,Lithium Mar 26,Sao Paulo,D-628,Noah Park,73.90,74.05,0.15,31,At risk,13,3s ago
29469,Cocoa May 26,Chicago,D-844,Iris Chen,75.60,75.80,0.20,44,Open,14,4s ago
29470,Cotton Jul 26,Singapore,D-1071,Sofia Bell,77.30,77.55,0.25,57,Filled,15,5s ago
29471,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,79.00,79.05,0.05,70,Monitoring,16,1s ago
29472,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,80.70,80.80,0.10,83,At risk,17,2s ago
29473,Copper Jan 26,Chicago,D-251,Maya Chen,82.40,82.55,0.15,8,Open,18,3s ago
29474,Nickel Mar 26,Singapore,D-628,Noah Park,84.10,84.30,0.20,13,Filled,19,4s ago
29475,Aluminum May 26,Frankfurt,D-844,Iris Chen,85.80,86.05,0.25,26,Monitoring,20,5s ago
29476,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,87.50,87.55,0.05,39,At risk,21,1s ago
29477,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,89.20,89.30,0.10,52,Open,22,2s ago
29478,Cotton Nov 26,Singapore,D-2874,Luca Perez,90.90,91.05,0.15,65,Filled,23,3s ago
29479,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,60.60,60.80,0.20,78,Monitoring,24,4s ago
29480,Wheat Mar 26,Sao Paulo,D-628,Noah Park,62.30,62.55,0.25,91,At risk,25,5s ago
29481,Copper May 26,Chicago,D-844,Iris Chen,64.00,64.05,0.05,8,Open,26,1s ago
29482,Nickel Jul 26,Singapore,D-1071,Sofia Bell,65.70,65.80,0.10,21,Filled,27,2s ago
29483,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,67.40,67.55,0.15,34,Monitoring,28,3s ago
29484,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,69.10,69.30,0.20,47,At risk,29,4s ago
29485,Cocoa Jan 26,Chicago,D-251,Maya Chen,70.80,71.05,0.25,60,Open,12,5s ago
29486,Cotton Mar 26,Singapore,D-628,Noah Park,72.50,72.55,0.05,73,Filled,13,1s ago
29487,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,74.20,74.30,0.10,86,Monitoring,14,2s ago
29488,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,75.90,76.05,0.15,8,At risk,15,3s ago
29489,Copper Sep 26,Chicago,D-1563,Theo Ivanov,77.60,77.80,0.20,16,Open,16,4s ago
29490,Nickel Nov 26,Singapore,D-2874,Luca Perez,79.30,79.55,0.25,29,Filled,17,5s ago
29491,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,81.00,81.05,0.05,42,Monitoring,18,1s ago
29492,Lithium Mar 26,Sao Paulo,D-628,Noah Park,82.70,82.80,0.10,55,At risk,19,2s ago
29493,Cocoa May 26,Chicago,D-844,Iris Chen,84.40,84.55,0.15,68,Open,20,3s ago
29494,Cotton Jul 26,Singapore,D-1071,Sofia Bell,86.10,86.30,0.20,81,Filled,21,4s ago
29495,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,87.80,88.05,0.25,94,Monitoring,22,5s ago
29496,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,89.50,89.55,0.05,11,At risk,23,1s ago
29497,Copper Jan 26,Chicago,D-251,Maya Chen,91.20,91.30,0.10,24,Open,24,2s ago
29498,Nickel Mar 26,Singapore,D-628,Noah Park,60.90,61.05,0.15,37,Filled,25,3s ago
29499,Aluminum May 26,Frankfurt,D-844,Iris Chen,62.60,62.80,0.20,50,Monitoring,26,4s ago
29500,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,64.30,64.55,0.25,63,At risk,27,5s ago
29501,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,66.00,66.05,0.05,76,Open,28,1s ago
29502,Cotton Nov 26,Singapore,D-2874,Luca Perez,67.70,67.80,0.10,89,Filled,29,2s ago
29503,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,69.40,69.55,0.15,8,Monitoring,12,3s ago
29504,Wheat Mar 26,Sao Paulo,D-628,Noah Park,71.10,71.30,0.20,19,At risk,13,4s ago
29505,Copper May 26,Chicago,D-844,Iris Chen,72.80,73.05,0.25,32,Open,14,5s ago
29506,Nickel Jul 26,Singapore,D-1071,Sofia Bell,74.50,74.55,0.05,45,Filled,15,1s ago
29507,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,76.20,76.30,0.10,58,Monitoring,16,2s ago
29508,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,77.90,78.05,0.15,71,At risk,17,3s ago
29509,Cocoa Jan 26,Chicago,D-251,Maya Chen,79.60,79.80,0.20,84,Open,18,4s ago
29510,Cotton Mar 26,Singapore,D-628,Noah Park,81.30,81.55,0.25,8,Filled,19,5s ago
29511,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,83.00,83.05,0.05,14,Monitoring,20,1s ago
29512,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,84.70,84.80,0.10,27,At risk,21,2s ago
29513,Copper Sep 26,Chicago,D-1563,Theo Ivanov,86.40,86.55,0.15,40,Open,22,3s ago
29514,Nickel Nov 26,Singapore,D-2874,Luca Perez,88.10,88.30,0.20,53,Filled,23,4s ago
29515,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,89.80,90.05,0.25,66,Monitoring,24,5s ago
29516,Lithium Mar 26,Sao Paulo,D-628,Noah Park,91.50,91.55,0.05,79,At risk,25,1s ago
29517,Cocoa May 26,Chicago,D-844,Iris Chen,61.20,61.30,0.10,92,Open,26,2s ago
29518,Cotton Jul 26,Singapore,D-1071,Sofia Bell,62.90,63.05,0.15,9,Filled,27,3s ago
29519,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,64.60,64.80,0.20,22,Monitoring,28,4s ago
29520,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,66.30,66.55,0.25,35,At risk,29,5s ago
29521,Copper Jan 26,Chicago,D-251,Maya Chen,68.00,68.05,0.05,48,Open,12,1s ago
29522,Nickel Mar 26,Singapore,D-628,Noah Park,69.70,69.80,0.10,61,Filled,13,2s ago
29523,Aluminum May 26,Frankfurt,D-844,Iris Chen,71.40,71.55,0.15,74,Monitoring,14,3s ago
29524,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,73.10,73.30,0.20,87,At risk,15,4s ago
29525,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,74.80,75.05,0.25,8,Open,16,5s ago
29526,Cotton Nov 26,Singapore,D-2874,Luca Perez,76.50,76.55,0.05,17,Filled,17,1s ago
29527,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,78.20,78.30,0.10,30,Monitoring,18,2s ago
29528,Wheat Mar 26,Sao Paulo,D-628,Noah Park,79.90,80.05,0.15,43,At risk,19,3s ago
29529,Copper May 26,Chicago,D-844,Iris Chen,81.60,81.80,0.20,56,Open,20,4s ago
29530,Nickel Jul 26,Singapore,D-1071,Sofia Bell,83.30,83.55,0.25,69,Filled,21,5s ago
29531,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,85.00,85.05,0.05,82,Monitoring,22,1s ago
29532,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,86.70,86.80,0.10,95,At risk,23,2s ago
29533,Cocoa Jan 26,Chicago,D-251,Maya Chen,88.40,88.55,0.15,12,Open,24,3s ago
29534,Cotton Mar 26,Singapore,D-628,Noah Park,90.10,90.30,0.20,25,Filled,25,4s ago
29535,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,91.80,92.05,0.25,38,Monitoring,26,5s ago
29536,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,61.50,61.55,0.05,51,At risk,27,1s ago
29537,Copper Sep 26,Chicago,D-1563,Theo Ivanov,63.20,63.30,0.10,64,Open,28,2s ago
29538,Nickel Nov 26,Singapore,D-2874,Luca Perez,64.90,65.05,0.15,77,Filled,29,3s ago
29539,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,66.60,66.80,0.20,90,Monitoring,12,4s ago
29540,Lithium Mar 26,Sao Paulo,D-628,Noah Park,68.30,68.55,0.25,8,At risk,13,5s ago
29541,Cocoa May 26,Chicago,D-844,Iris Chen,70.00,70.05,0.05,20,Open,14,1s ago
29542,Cotton Jul 26,Singapore,D-1071,Sofia Bell,71.70,71.80,0.10,33,Filled,15,2s ago
29543,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,73.40,73.55,0.15,46,Monitoring,16,3s ago
29544,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,75.10,75.30,0.20,59,At risk,17,4s ago
29545,Copper Jan 26,Chicago,D-251,Maya Chen,76.80,77.05,0.25,72,Open,18,5s ago
29546,Nickel Mar 26,Singapore,D-628,Noah Park,78.50,78.55,0.05,85,Filled,19,1s ago
29547,Aluminum May 26,Frankfurt,D-844,Iris Chen,80.20,80.30,0.10,8,Monitoring,20,2s ago
29548,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,81.90,82.05,0.15,15,At risk,21,3s ago
29549,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,83.60,83.80,0.20,28,Open,22,4s ago
29550,Cotton Nov 26,Singapore,D-2874,Luca Perez,85.30,85.55,0.25,41,Filled,23,5s ago
29551,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,87.00,87.05,0.05,54,Monitoring,24,1s ago
29552,Wheat Mar 26,Sao Paulo,D-628,Noah Park,88.70,88.80,0.10,67,At risk,25,2s ago
29553,Copper May 26,Chicago,D-844,Iris Chen,90.40,90.55,0.15,80,Open,26,3s ago
29554,Nickel Jul 26,Singapore,D-1071,Sofia Bell,60.10,60.30,0.20,93,Filled,27,4s ago
29555,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,61.80,62.05,0.25,10,Monitoring,28,5s ago
29556,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,63.50,63.55,0.05,23,At risk,29,1s ago
29557,Cocoa Jan 26,Chicago,D-251,Maya Chen,65.20,65.30,0.10,36,Open,12,2s ago
29558,Cotton Mar 26,Singapore,D-628,Noah Park,66.90,67.05,0.15,49,Filled,13,3s ago
29559,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,68.60,68.80,0.20,62,Monitoring,14,4s ago
29560,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,70.30,70.55,0.25,75,At risk,15,5s ago
29561,Copper Sep 26,Chicago,D-1563,Theo Ivanov,72.00,72.05,0.05,88,Open,16,1s ago
29562,Nickel Nov 26,Singapore,D-2874,Luca Perez,73.70,73.80,0.10,8,Filled,17,2s ago
29563,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,75.40,75.55,0.15,18,Monitoring,18,3s ago
29564,Lithium Mar 26,Sao Paulo,D-628,Noah Park,77.10,77.30,0.20,31,At risk,19,4s ago
29565,Cocoa May 26,Chicago,D-844,Iris Chen,78.80,79.05,0.25,44,Open,20,5s ago
29566,Cotton Jul 26,Singapore,D-1071,Sofia Bell,80.50,80.55,0.05,57,Filled,21,1s ago
29567,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,82.20,82.30,0.10,70,Monitoring,22,2s ago
29568,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,83.90,84.05,0.15,83,At risk,23,3s ago
29569,Copper Jan 26,Chicago,D-251,Maya Chen,85.60,85.80,0.20,8,Open,24,4s ago
29570,Nickel Mar 26,Singapore,D-628,Noah Park,87.30,87.55,0.25,13,Filled,25,5s ago
29571,Aluminum May 26,Frankfurt,D-844,Iris Chen,89.00,89.05,0.05,26,Monitoring,26,1s ago
29572,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,90.70,90.80,0.10,39,At risk,27,2s ago
29573,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,60.40,60.55,0.15,52,Open,28,3s ago
29574,Cotton Nov 26,Singapore,D-2874,Luca Perez,62.10,62.30,0.20,65,Filled,29,4s ago
29575,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,63.80,64.05,0.25,78,Monitoring,12,5s ago
29576,Wheat Mar 26,Sao Paulo,D-628,Noah Park,65.50,65.55,0.05,91,At risk,13,1s ago
29577,Copper May 26,Chicago,D-844,Iris Chen,67.20,67.30,0.10,8,Open,14,2s ago
29578,Nickel Jul 26,Singapore,D-1071,Sofia Bell,68.90,69.05,0.15,21,Filled,15,3s ago
29579,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,70.60,70.80,0.20,34,Monitoring,16,4s ago
29580,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,72.30,72.55,0.25,47,At risk,17,5s ago
29581,Cocoa Jan 26,Chicago,D-251,Maya Chen,74.00,74.05,0.05,60,Open,18,1s ago
29582,Cotton Mar 26,Singapore,D-628,Noah Park,75.70,75.80,0.10,73,Filled,19,2s ago
29583,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,77.40,77.55,0.15,86,Monitoring,20,3s ago
29584,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,79.10,79.30,0.20,8,At risk,21,4s ago
29585,Copper Sep 26,Chicago,D-1563,Theo Ivanov,80.80,81.05,0.25,16,Open,22,5s ago
29586,Nickel Nov 26,Singapore,D-2874,Luca Perez,82.50,82.55,0.05,29,Filled,23,1s ago
29587,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,84.20,84.30,0.10,42,Monitoring,24,2s ago
29588,Lithium Mar 26,Sao Paulo,D-628,Noah Park,85.90,86.05,0.15,55,At risk,25,3s ago
29589,Cocoa May 26,Chicago,D-844,Iris Chen,87.60,87.80,0.20,68,Open,26,4s ago
29590,Cotton Jul 26,Singapore,D-1071,Sofia Bell,89.30,89.55,0.25,81,Filled,27,5s ago
29591,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,91.00,91.05,0.05,94,Monitoring,28,1s ago
29592,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,60.70,60.80,0.10,11,At risk,29,2s ago
29593,Copper Jan 26,Chicago,D-251,Maya Chen,62.40,62.55,0.15,24,Open,12,3s ago
29594,Nickel Mar 26,Singapore,D-628,Noah Park,64.10,64.30,0.20,37,Filled,13,4s ago
29595,Aluminum May 26,Frankfurt,D-844,Iris Chen,65.80,66.05,0.25,50,Monitoring,14,5s ago
29596,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,67.50,67.55,0.05,63,At risk,15,1s ago
29597,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,69.20,69.30,0.10,76,Open,16,2s ago
29598,Cotton Nov 26,Singapore,D-2874,Luca Perez,70.90,71.05,0.15,89,Filled,17,3s ago
29599,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,72.60,72.80,0.20,8,Monitoring,18,4s ago
29600,Wheat Mar 26,Sao Paulo,D-628,Noah Park,74.30,74.55,0.25,19,At risk,19,5s ago
29601,Copper May 26,Chicago,D-844,Iris Chen,76.00,76.05,0.05,32,Open,20,1s ago
29602,Nickel Jul 26,Singapore,D-1071,Sofia Bell,77.70,77.80,0.10,45,Filled,21,2s ago
29603,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,79.40,79.55,0.15,58,Monitoring,22,3s ago
29604,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,81.10,81.30,0.20,71,At risk,23,4s ago
29605,Cocoa Jan 26,Chicago,D-251,Maya Chen,82.80,83.05,0.25,84,Open,24,5s ago
29606,Cotton Mar 26,Singapore,D-628,Noah Park,84.50,84.55,0.05,8,Filled,25,1s ago
29607,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,86.20,86.30,0.10,14,Monitoring,26,2s ago
29608,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,87.90,88.05,0.15,27,At risk,27,3s ago
29609,Copper Sep 26,Chicago,D-1563,Theo Ivanov,89.60,89.80,0.20,40,Open,28,4s ago
29610,Nickel Nov 26,Singapore,D-2874,Luca Perez,91.30,91.55,0.25,53,Filled,29,5s ago
29611,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,61.00,61.05,0.05,66,Monitoring,12,1s ago
29612,Lithium Mar 26,Sao Paulo,D-628,Noah Park,62.70,62.80,0.10,79,At risk,13,2s ago
29613,Cocoa May 26,Chicago,D-844,Iris Chen,64.40,64.55,0.15,92,Open,14,3s ago
29614,Cotton Jul 26,Singapore,D-1071,Sofia Bell,66.10,66.30,0.20,9,Filled,15,4s ago
29615,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,67.80,68.05,0.25,22,Monitoring,16,5s ago
29616,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,69.50,69.55,0.05,35,At risk,17,1s ago
29617,Copper Jan 26,Chicago,D-251,Maya Chen,71.20,71.30,0.10,48,Open,18,2s ago
29618,Nickel Mar 26,Singapore,D-628,Noah Park,72.90,73.05,0.15,61,Filled,19,3s ago
29619,Aluminum May 26,Frankfurt,D-844,Iris Chen,74.60,74.80,0.20,74,Monitoring,20,4s ago
29620,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,76.30,76.55,0.25,87,At risk,21,5s ago
29621,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,78.00,78.05,0.05,8,Open,22,1s ago
29622,Cotton Nov 26,Singapore,D-2874,Luca Perez,79.70,79.80,0.10,17,Filled,23,2s ago
29623,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,81.40,81.55,0.15,30,Monitoring,24,3s ago
29624,Wheat Mar 26,Sao Paulo,D-628,Noah Park,83.10,83.30,0.20,43,At risk,25,4s ago
29625,Copper May 26,Chicago,D-844,Iris Chen,84.80,85.05,0.25,56,Open,26,5s ago
29626,Nickel Jul 26,Singapore,D-1071,Sofia Bell,86.50,86.55,0.05,69,Filled,27,1s ago
29627,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,88.20,88.30,0.10,82,Monitoring,28,2s ago
29628,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,89.90,90.05,0.15,95,At risk,29,3s ago
29629,Cocoa Jan 26,Chicago,D-251,Maya Chen,91.60,91.80,0.20,12,Open,12,4s ago
29630,Cotton Mar 26,Singapore,D-628,Noah Park,61.30,61.55,0.25,25,Filled,13,5s ago
29631,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,63.00,63.05,0.05,38,Monitoring,14,1s ago
29632,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,64.70,64.80,0.10,51,At risk,15,2s ago
29633,Copper Sep 26,Chicago,D-1563,Theo Ivanov,66.40,66.55,0.15,64,Open,16,3s ago
29634,Nickel Nov 26,Singapore,D-2874,Luca Perez,68.10,68.30,0.20,77,Filled,17,4s ago
29635,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,69.80,70.05,0.25,90,Monitoring,18,5s ago
29636,Lithium Mar 26,Sao Paulo,D-628,Noah Park,71.50,71.55,0.05,8,At risk,19,1s ago
29637,Cocoa May 26,Chicago,D-844,Iris Chen,73.20,73.30,0.10,20,Open,20,2s ago
29638,Cotton Jul 26,Singapore,D-1071,Sofia Bell,74.90,75.05,0.15,33,Filled,21,3s ago
29639,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,76.60,76.80,0.20,46,Monitoring,22,4s ago
29640,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,78.30,78.55,0.25,59,At risk,23,5s ago
29641,Copper Jan 26,Chicago,D-251,Maya Chen,80.00,80.05,0.05,72,Open,24,1s ago
29642,Nickel Mar 26,Singapore,D-628,Noah Park,81.70,81.80,0.10,85,Filled,25,2s ago
29643,Aluminum May 26,Frankfurt,D-844,Iris Chen,83.40,83.55,0.15,8,Monitoring,26,3s ago
29644,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,85.10,85.30,0.20,15,At risk,27,4s ago
29645,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,86.80,87.05,0.25,28,Open,28,5s ago
29646,Cotton Nov 26,Singapore,D-2874,Luca Perez,88.50,88.55,0.05,41,Filled,29,1s ago
